"File","Path","Line","Kind","Name"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","164","assigned function","chattynator.RefreshChattynatorTabs"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","176","assigned function","chattynator.CreateChattynatorTab"
"grm_chattynator.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\Compatibility\grm_chattynator.lua","200","assigned function","chattynator.CleanupChattynatorTabs"
"GRM_ClassicFrames.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ClassicFrames.lua","5","assigned function","GRM_UI.EstablishClassicFrames"
"GRM_Config.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Config.lua","17","assigned function","Config.GetTimeOffesets"
"GRM_Config.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Config.lua","56","assigned function","Config.ActivateAddon"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","391","assigned function","GRM.CreateTexture"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","398","assigned function","GRM.GetMouseFocus"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","413","assigned function","GRM.IsHardcoreActive"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","427","assigned function","GRM.GameVersion"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","451","assigned function","GRM.CanViewOfficerNote"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","459","assigned function","GRM.CanEditOfficerNote"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","468","assigned function","GRM.CanEditPublicNote"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","476","assigned function","GRM.GuildRoster"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","485","assigned function","GRM.GetColorPickerFrame"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","515","assigned function","GRM.IsAddOnLoaded"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","523","assigned function","GRM.LoadLuaAddOn"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","531","assigned function","GRM.ForceLoadAddon"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","538","assigned function","GRM.SetSliderTemplate"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","550","assigned function","GRM.issecretvalue"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","564","assigned function","GRM.GetMaxPlayerLevelByExpansion"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","580","assigned function","GRM.InGroupLogic"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","653","assigned function","GRM.FrameCombatHide"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","713","assigned function","GRM.FrameCombatRestore"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","757","assigned function","GRM.WipeCombatHiddenState"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","769","assigned function","GRM.SecretValueRestrictionRestore"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","779","assigned function","GRM.IsInAnyPvPInstance"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","790","assigned function","GRM.GetWowProgressLink"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","807","assigned function","GRM.GetRaiderIOLink"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","826","assigned function","GRM.BuildRaceIDEnum"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","844","assigned function","GRM.BuildClassIDEnums"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","862","assigned function","GRM.ConfigureEnums"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","874","assigned function","GRM.ClearPermData"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","925","assigned function","GRM.ConfigureMiscForPlayer"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","934","assigned function","GRM.GetRankRestrictedDefaultRankIndex"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","947","assigned function","GRM.SetDefaultAddonSettings"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","1286","assigned function","GRM.IsSettingsConfigured"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","1300","assigned function","GRM.RefreshAllSettings"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","1308","assigned function","GRM.IsOldSettingsFormat"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","1326","assigned function","GRM.UpdateOldSettingsFormat"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","1403","assigned function","GRM.LoadSettings"
"GRM_Core.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_Core.lua","1464","assigned function","GRM.GuildSpecificConfigurations"
